Epoch: 105/200 | Val loss: 0.7129 | Val acc: 0.8214 | Train loss: 0.5522 | Train acc: 0.9397
Epoch: 106/200 | Val loss: 0.7139 | Val acc: 0.8214 | Train loss: 0.5429 | Train acc: 0.9483
Epoch: 107/200 | Val loss: 0.7136 | Val acc: 0.8571 | Train loss: 0.5190 | Train acc: 0.9483
Epoch: 108/200 | Val loss: 0.7203 | Val acc: 0.8214 | Train loss: 0.5070 | Train acc: 0.9310
Epoch: 109/200 | Val loss: 0.7311 | Val acc: 0.8214 | Train loss: 0.5348 | Train acc: 0.9310
Epoch: 110/200 | Val loss: 0.7176 | Val acc: 0.8571 | Train loss: 0.4998 | Train acc: 0.9655
Epoch: 111/200 | Val loss: 0.7317 | Val acc: 0.8571 | Train loss: 0.5471 | Train acc: 0.9569
Epoch: 112/200 | Val loss: 0.7235 | Val acc: 0.8571 | Train loss: 0.5438 | Train acc: 0.9397
Epoch: 113/200 | Val loss: 0.7175 | Val acc: 0.8571 | Train loss: 0.4957 | Train acc: 0.9569
Epoch: 114/200 | Val loss: 0.7111 | Val acc: 0.8214 | Train loss: 0.5287 | Train acc: 0.9397
Epoch: 115/200 | Val loss: 0.7174 | Val acc: 0.8214 | Train loss: 0.5291 | Train acc: 0.9483
Epoch: 116/200 | Val loss: 0.7097 | Val acc: 0.8214 | Train loss: 0.5473 | Train acc: 0.9052
Epoch: 117/200 | Val loss: 0.7109 | Val acc: 0.8571 | Train loss: 0.5281 | Train acc: 0.9224
Epoch: 118/200 | Val loss: 0.7109 | Val acc: 0.8571 | Train loss: 0.5417 | Train acc: 0.9310
Epoch: 119/200 | Val loss: 0.7198 | Val acc: 0.8214 | Train loss: 0.5103 | Train acc: 0.9569
Epoch: 120/200 | Val loss: 0.7289 | Val acc: 0.8571 | Train loss: 0.5555 | Train acc: 0.9483
Epoch: 121/200 | Val loss: 0.7234 | Val acc: 0.8571 | Train loss: 0.5019 | Train acc: 0.9569
Epoch: 122/200 | Val loss: 0.7130 | Val acc: 0.8571 | Train loss: 0.5514 | Train acc: 0.9569
Epoch: 123/200 | Val loss: 0.7304 | Val acc: 0.8214 | Train loss: 0.4950 | Train acc: 0.9914
Epoch: 124/200 | Val loss: 0.7426 | Val acc: 0.8214 | Train loss: 0.5066 | Train acc: 0.9655
Epoch: 125/200 | Val loss: 0.7419 | Val acc: 0.8214 | Train loss: 0.5041 | Train acc: 0.9655
Epoch: 126/200 | Val loss: 0.7571 | Val acc: 0.8214 | Train loss: 0.4997 | Train acc: 0.9569
Epoch: 127/200 | Val loss: 0.7384 | Val acc: 0.8571 | Train loss: 0.4934 | Train acc: 0.9828
Epoch: 128/200 | Val loss: 0.7191 | Val acc: 0.8571 | Train loss: 0.5274 | Train acc: 0.9483
Epoch: 129/200 | Val loss: 0.7211 | Val acc: 0.8571 | Train loss: 0.5122 | Train acc: 0.9483
Epoch: 130/200 | Val loss: 0.7190 | Val acc: 0.8571 | Train loss: 0.4914 | Train acc: 0.9655
Epoch: 131/200 | Val loss: 0.7247 | Val acc: 0.8571 | Train loss: 0.4722 | Train acc: 0.9655
Epoch: 132/200 | Val loss: 0.7137 | Val acc: 0.8214 | Train loss: 0.4932 | Train acc: 0.9569
Epoch: 133/200 | Val loss: 0.7330 | Val acc: 0.8571 | Train loss: 0.4931 | Train acc: 0.9569
Epoch: 134/200 | Val loss: 0.7264 | Val acc: 0.8571 | Train loss: 0.4830 | Train acc: 0.9655
Epoch: 135/200 | Val loss: 0.7392 | Val acc: 0.8571 | Train loss: 0.4976 | Train acc: 0.9483
Epoch: 136/200 | Val loss: 0.7245 | Val acc: 0.8571 | Train loss: 0.4706 | Train acc: 0.9569
Epoch: 137/200 | Val loss: 0.7259 | Val acc: 0.8571 | Train loss: 0.4711 | Train acc: 0.9741
Epoch: 138/200 | Val loss: 0.7202 | Val acc: 0.8571 | Train loss: 0.4831 | Train acc: 0.9569
Epoch: 139/200 | Val loss: 0.7222 | Val acc: 0.8571 | Train loss: 0.4746 | Train acc: 0.9741
Epoch: 140/200 | Val loss: 0.7275 | Val acc: 0.8571 | Train loss: 0.4529 | Train acc: 0.9741
Epoch: 141/200 | Val loss: 0.7276 | Val acc: 0.8571 | Train loss: 0.4937 | Train acc: 0.9655
Epoch: 142/200 | Val loss: 0.7431 | Val acc: 0.8571 | Train loss: 0.5034 | Train acc: 0.9483
Epoch: 143/200 | Val loss: 0.7335 | Val acc: 0.8571 | Train loss: 0.4986 | Train acc: 0.9569
Epoch: 144/200 | Val loss: 0.7389 | Val acc: 0.8571 | Train loss: 0.4632 | Train acc: 0.9655
Epoch: 145/200 | Val loss: 0.7453 | Val acc: 0.8571 | Train loss: 0.4680 | Train acc: 0.9569
Epoch: 146/200 | Val loss: 0.7292 | Val acc: 0.8571 | Train loss: 0.4700 | Train acc: 0.9914
Epoch: 147/200 | Val loss: 0.7393 | Val acc: 0.8571 | Train loss: 0.5022 | Train acc: 0.9569
Early stopping at epoch: 148/200 with best val acc: 0.8214285714285714 and best val loss: 0.7096707001328468
