number, value             , datetime_start            , datetime_complete         , duration              , params_base_model, params_heads, params_hidden_dim, params_learning_rate  , user_attrs_base_model, user_attrs_heads, user_attrs_hidden_dim, user_attrs_lr         , state
    63, 0.9103117574957375, 2026-03-17 08:52:43.561111, 2026-03-17 09:05:32.962520, 0 days 00:12:49.401409,                  ,            2,               128, 0.00767686745867676   ,                      ,                2,                   128, 0.00767686745867676   , COMPLETE
    64, 0.7545327399872855, 2026-03-17 09:05:32.962520, 2026-03-17 09:16:10.861477, 0 days 00:10:37.898957, resnet50         ,            2,               128, 0.008395769238007217  , resnet50             ,                2,                   128, 0.008395769238007217  , COMPLETE
    65, 0.8451616144387762, 2026-03-17 09:16:10.861477, 2026-03-17 09:40:50.025689, 0 days 00:24:39.164212,                  ,            2,               128, 0.007645249521628495  ,                      ,                2,                   128, 0.007645249521628495  , COMPLETE
    66, 0.8886274509803922, 2026-03-17 09:40:50.026692, 2026-03-17 09:54:50.805396, 0 days 00:14:00.778704,                  ,            2,               256, 0.007664993549385632  ,                      ,                2,                   256, 0.007664993549385632  , COMPLETE
    67, 0.8792310185358314, 2026-03-17 09:54:50.805396, 2026-03-17 10:15:10.685143, 0 days 00:20:19.879747,                  ,            2,              1024, 0.006952249386317526  ,                      ,                2,                  1024, 0.006952249386317526  , COMPLETE
    68, 0.8012305625604857, 2026-03-17 10:15:10.685143, 2026-03-17 10:26:34.232449, 0 days 00:11:23.547306, resnet50         ,            2,               128, 0.004363716494143023  , resnet50             ,                2,                   128, 0.004363716494143023  , COMPLETE
    69, 0.8709484774894974, 2026-03-17 10:26:34.232449, 2026-03-17 10:36:16.395091, 0 days 00:09:42.162642, resnet18         ,            2,               512, 0.008104335218413845  , resnet18             ,                2,                   512, 0.008104335218413845  , COMPLETE
    70, 0.8782480677217519, 2026-03-17 10:36:16.404515, 2026-03-17 10:49:32.794662, 0 days 00:13:16.390147,                  ,            8,               128, 0.006366238139238117  ,                      ,                8,                   128, 0.006366238139238117  , COMPLETE
    71, 0.8303030303030302, 2026-03-17 10:49:32.795663, 2026-03-17 11:10:59.675930, 0 days 00:21:26.880267,                  ,            2,               256, 0.007601954152720486  ,                      ,                2,                   256, 0.007601954152720486  , COMPLETE
    72, 0.8123826390060156, 2026-03-17 11:10:59.675930, 2026-03-17 11:23:21.907077, 0 days 00:12:22.231147,                  ,            2,               256, 0.008885906067951276  ,                      ,                2,                   256, 0.008885906067951276  , COMPLETE
